room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating,price
45375480,269200730,浦东新区,陆家嘴实习东昌路地铁站长租有优惠学生落脚限女生实惠舒心安全,31.23523,121.51316,Private room,1,1,1,f,2020-09-21,2020-10-09,2,100.0,1240.7
45375586,351929857,浦东新区,青年里水色【桑野】落地窗吊床泳池景观投影仪大浴缸闺蜜亲子家庭含早餐迪士尼接送小清新唯美度假首选,31.14452,121.66294,Private room,6,2,3,t,2020-09-20,2021-02-13,9,89.0,2298.56
45375648,351929857,浦东新区,青年里水色【仙踪】洁白清新ins风浪漫泳池浴缸大床房投影仪独卫书桌复古吊灯网红落地窗夕阳秋千,31.141890000000004,121.664,Private room,2,1,1,t,2020-09-20,2020-11-04,6,100.0,1495.37
45375679,351929857,浦东新区,青年里水色【千寻】三床超大落地窗俯瞰泳池浴缸投影仪海岛风求婚聚会商拍轰趴首选含早餐靠近迪士尼免费接送,31.14581,121.66452,Private room,6,2,3,t,2020-09-20,2021-02-18,32,100.0,2128.78
45376145,214586439,浦东新区,无墨•溪岸/情迷布拉格家庭套房/免费接送迪士尼/ 距离迪士尼10分钟/近11号线/含早餐/智能马桶,31.1434,121.65972,Private room,4,2,2,t,2020-10-05,2020-12-22,2,100.0,1861.05
45376487,214586439,浦东新区,无墨•溪岸/再探曼陀宫家庭套房/距离迪士尼10分钟/近11号线/免费接送迪士尼/ 含早餐/智能马桶,31.14247,121.65966,Private room,6,2,3,t,2020-10-04,2020-10-22,2,90.0,2096.13
45376570,350756987,浦东新区,迪士尼周边/性价比超高独栋别墅/配有KTV包房/烧烤/垂钓/麻将/桌游/适合公司团建/聚会/度假旅游,31.13745,121.66607,Entire home/apt,14,5,9,t,2020-10-01,2021-01-29,8,98.0,15247.55
45383559,350756987,浦东新区,【限时特惠】雅致—迪士尼旁性价比最高民宿/免费接送迪士尼/11号地铁站/含双早/5分钟到镇中心,31.14154000000001,121.66808,Private room,2,1,1,t,2020-09-19,2020-10-05,2,100.0,1292.94
45384634,350756987,浦东新区,迪士尼【66号公馆】Loft阁楼阳光景观房｜迪士尼 地铁站11号线 免费接送｜含双早｜行李免费寄存,31.13717,121.66554,Private room,4,2,2,t,2020-09-18,2020-12-31,5,100.0,2540.17
45384872,272170529,浦东新区,迪士尼整套别墅7房11张床免费接送带客厅厨房可供做饭,31.14437,121.68166,Private room,16,7,11,t,2020-10-04,2020-12-31,2,100.0,11218.54
45385338,357367897,浦东新区,体验真正的川沙本地人生活，看最美田园风光，尝尝当地时令水果蔬菜，周围还有迪斯尼和上海野生动物。,31.12228,121.7313,Entire home/apt,14,6,7,t,2020-12-31,2021-02-16,5,100.0,6072.9000000000015
45385774,350756987,浦东新区,【限时特惠】摩卡—Loft阁楼景观房/迪士尼旁性价比最高民宿/免费接送迪士尼/11号地铁站/含双早/,31.14119,121.66799,Private room,3,2,2,t,2020-10-06,2020-10-30,2,100.0,2318.15
45387571,280538971,浦东新区,【浅念】近迪士尼两居可住3人/房东24小时接待/早晚迪士尼免费接送/独栋别墅,31.14076,121.6671,Private room,3,2,2,t,2020-11-01,2021-01-02,2,90.0,1018.68
45388495,202023201,浦东新区,驿亭墅·庭院双床房【古伊】班车免费接送迪士尼/地铁站/浦东机场,31.14249,121.66849,Private room,2,1,2,t,2021-01-04,2021-01-04,1,100.0,1057.86
45388642,202023201,浦东新区,驿亭墅·庭院大床房【玖熙】班车免费接送迪士尼/地铁站/浦东机场,31.14054,121.66891,Private room,2,1,1,t,2021-01-17,2021-01-17,1,100.0,1057.86
45388648,302269565,浦东新区,牧场物语|五居度假重磅推荐河景房|莫兰迪学派大师设计|水上民宿|原生态景观湖|稻田迷宫|附厨房客厅,31.085,121.68982,Entire home/apt,12,5,7,t,2020-12-12,2020-12-12,1,100.0,19374.51
45388943,349759183,浦东新区,法式浪漫复古泳池花园别墅-迪士尼接or送-GREEN「风铃草」,31.14313,121.6692,Private room,2,1,1,t,2020-09-19,2021-01-18,17,99.0,1723.92
45390518,346023294,浦东新区,ins风酒店式公寓带独立厨房卫生间/近上海迪士尼乐园/复旦大学附属肿瘤医院/浦东机场/上海野生动物园,31.08225,121.6381,Entire home/apt,2,0,1,t,2020-09-25,2021-01-22,3,93.0,972.97
45396182,350756987,浦东新区,【限时特惠】东南亚—Loft阁楼景观房/迪士尼旁性价比最高民宿/免费接送迪士尼/11号地铁站/含双早,31.13932,121.6786,Private room,3,2,2,t,2020-10-06,2020-10-06,1,100.0,2207.14
45404259,46189390,浦东新区,【150平电梯高层公寓】3分钟步行上海新国际博览中心/龙阳路/世纪公园/陆家嘴/上海科技馆/外滩,31.21021,121.56018,Entire home/apt,6,3,4,t,2020-10-04,2020-11-14,4,100.0,6203.5
45408531,320068557,浦东新区,花筑浔域/免费迪士尼接送/含早餐/花园/露天电影/临河/忆朝大床房/停车方便/网红打卡/轰趴团建首选,31.11298,121.6874,Private room,2,1,1,t,2020-10-06,2020-12-31,11,98.0,2396.51
45413441,182719624,浦东新区,青年里水色【飘羽】情侣闺蜜种草打卡 亲子家庭商业拍摄 大面积阳光房 视野好无遮拦 室外泳池草地彩灯,31.13935,121.67484,Private room,4,1,2,t,2020-09-19,2020-09-24,2,100.0,1756.5700000000004
45413479,182719624,浦东新区,青年里水色【星落】清新度假 阳光通透星空房 仰头蓝天白云 晚观点点疏星 日落晚霞平原视野,31.13764,121.67511,Private room,4,1,2,t,2020-09-19,2021-01-31,7,100.0,1625.97
45413497,182719624,浦东新区,青年里水色【醉月】ins网红小红书种草打卡首选 大面积阳光房全景天窗落地玻璃 情侣闺蜜亲子家庭房,31.13787,121.67515,Private room,2,1,1,t,2020-09-19,2021-02-08,6,93.0,1514.96
45413524,182719624,浦东新区,青年里水色【暮光】碧波椰影蓝天白云独立双床玻璃落地窗投影仪大浴缸吊灯网红拍照种草 露天泳池草地秋千,31.13982,121.67435,Private room,4,1,2,t,2020-09-19,2021-01-01,3,100.0,2056.9500000000007
45413540,182719624,浦东新区,青年里水色【椰梦】独立大床 网红落地窗大浴缸 投影仪 室外露天泳池免费早餐迪斯尼度假游玩,31.13791,121.67476,Private room,2,1,1,t,2020-09-19,2021-02-01,11,98.0,1913.29
